profit_inv,profit_sym,q_T_inv,q_T_sym
69.10856172352042,64.46901264779603,1,2
63.35233299135575,67.59826070163263,7,4
63.55079626096389,61.97495850868427,3,14
72.19232355330378,70.06414532747783,2,9
68.52602616418937,78.33849685570442,5,1
61.57366075682279,75.08340128555909,-3,-5
60.449931765104566,84.28598073763656,-4,2
63.041718685068986,57.15884547665041,-3,11
65.63633016689653,78.73459141114893,5,10
66.02275680930563,64.81357693008152,4,5
65.32345130956048,71.3986591034244,8,8
69.70794693489614,81.99747390125913,-5,-11
65.48806609818477,66.73954126755729,0,5
60.74172562463892,69.5601814723397,0,-2
74.81856583863129,75.71321265700635,4,2
60.169338759864814,62.692256586521694,2,-9
65.77860117517855,71.5041240264307,-1,-4
67.99664837472082,78.374453288935,2,7
60.81391740362767,70.90248216825012,-5,4
68.71977693929199,83.03895366807944,3,9
64.26473139314783,64.75964228023486,0,-1
63.5543801908981,64.20414815193703,1,-4
67.76732851349828,75.26077907502747,-2,1
59.0860004220545,42.273646638500395,-1,17
67.85611329772709,72.97227223865065,3,4
